item_number,source_number_in_text,english_gloss,phonetic_form,phonemic_form,alignment_note
422,420,Say,[tàá / náng òtéré],/ónúnúmá/,
423,421,Voice,[ónúnúmá],/ọháhàng/,
424,422,"Speak, talk",[vùmá],/évóí òtèrè/,
425,423,Whisper,[rátọng-ọsá],/éhùné/,
426,424,"Shout (v), Cry out",[ónúnúmá],/réyá/,
427,425,Chat,[ọháhàng],/rébówá/,
428,426,Mumble,[évóí òtèrè],/tábáíʒòì/,
429,427,Stutter,[éhùné],/ékpá/,
430,428,(be) eloquent,[réyá],/ékpá òkpá/,
431,429,(be) silent,[rébówá],/ùsàhá or ùsàá/,
432,430,Greet,[thábáíʒòì],/owenine/,
433,431,Call (someone),[ékpá],/éjáòjá/,
434,432,Say goodbye take leave of,[ékpá òkpá],/óvúvúwá/,
435,433,Announce,[ùsàhá or ùsàá],/íváná/,
436,434,Announcement,[owenine],/rèpíb/,
437,435,News,[éjáòjá],/rèdáà/,
438,436,Explain,[óvúvúwá],/rúkpém/,
439,437,Advise,[íváná],/éváré/,
440,438,Gossip (v),[rèpíb],/sámọ/,
441,439,Tie (n) falsehood,[rèdáà],/ògwá/,
442,440,"Ask, request",[rúkpém],/rúgwá òvà/,
443,441,"Plead, implore",[éváré],/rúgwá òvà/,
444,442,Request,[sámọ],/ùsónóyínó/,
445,443,"Answer, reply",[ògwá],/ísó úwáná/,
446,444,Thank,[rúgwá òvà],/ópémá/,
447,445,Promise,[rúgwá òvà],/óhárá-ófíọ/,
448,446,Oath,[ùsónóyínó],/ékáá/,
449,447,Swear,[ísó úwáná],/éká ònáà/,
450,448,Insult (v),[ópémá],/ìwùrúwú/,
451,449,Insult (n),[óhárá-ófíọ],/ìgbágbànà/,
452,450,Slander,[ékáá],/rétón óβá/,
453,451,Threaten,[éká ònáà],/òdáa/,
454,452,Argue,[ìwùrúwú],/ódà/,
455,453,Argument,[ìgbágbànà],/rèdà/,
456,454,"Grumble, complain",[rétón óβá],/rèdà ɔ yínà/,
457,455,Contradict,[òdáa],/òdádà or òɠaɠa/,
458,456,Accuse,[ódà],/ókpómá/,
459,457,Deny,[rèdà],/èvíménè/,
460,458,Admit (to a wrong),[rèdà ɔ yínà],/ítábɔ rɔ,
461,459,Agree,[òdádà or òɠaɠa],/rúyámé/,
462,460,Agreement,[ókpómá],/ùsà ọsà/,
463,461,Persuade,[èvíménè],/ùsàá/,
464,462,Praise (n),[ítábɔ rɔ ],/ésèmà/,
465,463,"Bless, praise (someone)",[rúyámé],/ótéré/,
466,464,Congratulate,[ùsà ọsà],/rúkpènè ɔ ɲɔ /,
467,465,"Boast, brag",[ùsàá],/òbàmè/,
468,466,"Tell, recount (story)",[ésèmà],/ísó ùkpá/,
469,467,Story (tale),[ótéré],/rémén ófífíá/,
470,468,Proverb,[rúkpènè ɔ ɲɔ ],/óshíó óshíshíá/,
471,469,Speech discourse,[òbàmè],/ònùnùwà/,
472,470,Account (report) (n),[ísó ùkpá],/íβéβé òtìò/,
473,471,"Embrace, hug",[rémén ófífíá],/ròkpé/,
474,472,Caress,[óshíó óshíshíá],/òkpérà/,
475,473,Kiss (v),[ònùnùwà],/éváná/,
476,474,"Copulate, to have sexual intercourse",[íβéβé òtìò],/òkpákpà/,
477,475,"Nurse, suicide (baby)",[ròkpé],/táβọ,
478,476,Tickle,[òkpérà],/βétábhó,
479,477,Spank (child),[éváná],/íbɔ  ɔ tá/,
480,478,Whip,[òkpákpà],/r  mɔ n ɔ ɲí/,
481,479,Help,[táβọ],/ókpòmà/,
482,480,"Protect, defend",[βétábhó],/ítám-ósé/,
483,481,Look after,[íbɔ  ɔ tá],/ɔ tɔ ng ɔ tɔ mò/,
484,482,Bring up (a child),[ r  mɔ n ɔ ɲí],/tónàyì/,
485,483,"Rule over, dominate",[ókpòmà],/ókpèmè/,
486,484,Order (someone to do something),[ítám-ósé],/òtá:ná/,
487,485,Command (n),[ɔ tɔ ng ɔ tɔ mò],/èjá úfá/,
488,486,"Duty, obligation",[tónàyì],/ròfèm òdèmènè/,
